field,name
FIELD_1,_id
FIELD_2,AREA_ID
FIELD_3,AREA_ATTR_ID
FIELD_4,PARENT_AREA_ID
FIELD_5,AREA_SHORT_CODE
FIELD_6,AREA_LONG_CODE
FIELD_7,AREA_NAME
FIELD_8,AREA_DESC
FIELD_9,X
FIELD_10,Y
FIELD_11,LONGITUDE
FIELD_12,LATITUDE
FIELD_13,OBJECTID
FIELD_14,Shape__Area
FIELD_15,Shape__Length
geometry,geometry
